nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,8 bulan lalu,a****,Putih Merah Biru - 43,bintang 4,"dari segi ke empukan si lumayan tapi di mines nya bagian bawah adah bolong"" kecil""",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,Z***o,Hitam Ungu - 40,bintang 5,"Tidak mengecewakan, sepatu sangat sesuai dengan gambar, mantap",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,2 bulan lalu,X***i,Putih Merah Biru - 42,bintang 5,desain nya bagus dari segi kualitas worth it dengan harga segini nyaman juga di pakai buat trail run tipis' Warna: sangat bagus Daya tahan pakai: jika untuk easy run... ,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,2 bulan lalu,R***p,Hitam Ungu - 40,bintang 5,"Kualitas sesuai harga,  Matap sepatu nya enteng Awettt gakk yaaaa min?",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 minggu lalu,D***t,Hitam Ungu - 41,bintang 5,"Desain bagus, sangat ringan dan nyaman digunakan",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,8 bulan lalu,T***S,Navy Ijo - 40,bintang 5,"Mantab isi paket sesuai orderan, size juga sesuai. Makasih",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,10 bulan lalu,A***x,Abu Oren - 42,bintang 4,"Untuk harga segini oke si, saya tes buat naik gunung di 2000mdpl an juga masih aman, cuman panas nya minta ampun kaga ada sirkulasi di sepatunya ama ukuran terlalu sempit... ",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,10 bulan lalu,k***3,Hitam Ungu - 41,bintang 5,Shape and size: Ukurannya pas banget & nyaman banget Color: Sesuai dengan yg ada difoto Mantap,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,9 bulan lalu,W***g,Abu Oren - 44,bintang 5,"Barang bagus ,beli yang ke2xnya. No 44 ga beda jauh sama no 43 pas di kaki",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,L***S,Hitam Ungu - 42,bintang 5,Good job bg harga murah tapi kualitas gk murahan,0 orang terbantu
